word,translation,pronunciation,usage,category,difficulty
苹果,apple,píng guǒ,每日一苹果，医生远离我。,fruit,I
房子,house,fáng zi,这是我的房子。,infrastructure,I
车,car,chē,我有一辆红色的车。,transportation,I
丹顶鹤,red-crowned crane,Dān dǐng hè,是丹顶鹤不是鹤顶红。,animal,I
电脑,computer,diàn nǎo,我用电脑写作业。,technology,II
工程师,engineer,gōng chéng shī,新世纪大家都是工程师。,career,II
复杂,complex,fù zá,这个问题很复杂。,description,III
麻烦,trouble,má fan,这件事情很麻烦。,description,III
生物信息,bioinformatics,Shēngwù xìnxī,我在学生物信息学。,technology,III
左,left,Zuǒ,请在下个路口左转。,direction,I
