word,translation,pronunciation,usage,category,difficulty
pomme,apple,pɔm,J'ai mangé une pomme aujourd'hui.,fruit,I
maison,house,mɛ.zɔ̃,J'ai une maison.,building,I
voiture,car,vwɑˈtjʊə(ɹ),J'ai une voiture rouge.,vehnicle,I
poisson,fish,pwa.sɔ̃,Je n'aime pas manger du poisson.,vehnicle,I
banane,banana,ba.nan,J'ai acheté une banane au marché.,fruit,I
orange,orange,ɔ.ʁɑ̃ʒ,Elle a pressé une orange pour faire du jus.,fruit,I
mangue,mango,mɑ̃ɡ,La mangue est un fruit exotique très savoureux.,fruit,III
pêche,peach,pɛʃ,Il a mangé une pêche juteuse.,fruit,II
framboise,raspberry,fʁɑ̃bwaz,Elle a préparé une tarte aux framboises.,fruits,III
chat,cat,ʃa,Le chat dort sur le canapé.,animal,I
livre,book,livʁ,J'ai acheté un nouveau livre à la librairie.,education,II
merci,thank you,mɛʁ.si,Merci beaucoup pour votre aide.,expression,I
chien,dog,ʃjɛ̃,J'ai un chien qui s'appelle Max.,animal,I
pain,bread,pɛ̃,Je vais acheter du pain à la boulangerie.,food,I
soleil,sun,sɔ.lɛj,Le soleil brille aujourd'hui.,nature,I
voiture,car,vwa.tyʁ,J'ai acheté une nouvelle voiture.,vehicle,I
amour,love,a.muʁ,L'amour est un sentiment puissant.,emotion,I
plage,beach,plaʒ,J'aime passer mes vacances à la plage.,location,I
orthophoniste,speech therapist,ɔʁ.tɔ.fɔ.nist,Mon fils voit un orthophoniste pour améliorer sa parole.,profession,III
avocat,lawyer,a.vo.ka,Mon père est avocat et il plaide dans les tribunaux.,profession,III
architecte,architect,aʁ.ʃi.tɛkt,L'architecte a conçu un bâtiment moderne et innovant.,profession,III
pilote,pilot,pi.lɔt,Le pilote a réussi à atterrir en toute sécurité.,profession,III
professeur,professor,pʁɔ.fɛ.sœʁ,Le professeur donne un cours de mathématiques.,profession,III
consultant,consultant,kɔ̃.syl.tɑ̃,La société a engagé un consultant pour améliorer ses opérations.,profession,III
restaurant,restaurant,ʁɛs.to.ʁɑ̃,Allons dîner dans un bon restaurant ce soir.,place,II
restaurant,restaurant,ʁɛs.to.ʁɑ̃,Allons dîner dans un bon restaurant ce soir.,place,II
médecin,doctor,me.də.sɛ̃,Le médecin m'a prescrit des médicaments.,profession,II
journal,newspaper,ʒuʁ.nal,Je lis le journal tous les matins.,object,II
fenêtre,window,fə.nɛtʁ,"Ouvre la fenêtre, s'il te plaît.",object,II
hôpital,hospital,o.pi.tal,Ma grand-mère est à l'hôpital.,location,II
maison,house,mɛ.zɔ̃,J'ai acheté une nouvelle maison.,location,II
voyager,to travel,vwa.ja.ʒe,Je veux voyager à travers le monde.,verb,II
écrire,to write,e.kʁiʁ,J'aime écrire des histoires.,verb,II
